Model,Algorithm,R2,RMSE,MAE
Model1,Linear Regression,0.43170457563649045,0.41018668103423295,0.3287462107095596
Model1,Ridge Regression,0.43189347141197165,0.4101185043715669,0.3287985586484399
Model1,Lasso Regression,0.39643678186573617,0.42272298005847875,0.34454572144609946
Model1,Random Forest,0.803009676383577,0.2414998813218494,0.18503033214285722
Model1,Gradient Boosting,0.8146820109137727,0.23423579571301892,0.18210203089429988
Model1,SVR,0.8049733771546127,0.2402931690507904,0.183223123084438
Model2,Linear Regression,0.0032835246060956003,0.2567178648090111,0.20727045884097287
Model2,Ridge Regression,0.0032889192881073726,0.256717170071262,0.20727270187846752
Model2,Lasso Regression,-0.00444992666515609,0.2577118681366268,0.2095364825745077
Model2,Random Forest,0.5243731537998124,0.1773386725879065,0.11409376792643401
Model2,Gradient Boosting,0.5042025630502687,0.1810599566658065,0.11894614365149318
Model2,SVR,0.5347391982447338,0.1753955238346233,0.1258810731270528
Model3,Linear Regression,0.06365819145981533,0.24882125782141534,0.20172806420314557
Model3,Ridge Regression,0.06350998149577713,0.24884094952488398,0.20175108870196937
Model3,Lasso Regression,-0.00444992666515609,0.2577118681366268,0.2095364825745077
Model3,Random Forest,0.4403542022560344,0.19236537212482652,0.13027753261380728
Model3,Gradient Boosting,0.4984209544847832,0.18211258782890835,0.13609338199379445
Model3,SVR,0.34561688973359417,0.2080110059265246,0.15672258332277636
Model4,Linear Regression,0.0676688448673356,0.24828779518453245,0.2012097932896301
Model4,Ridge Regression,0.06748335502636038,0.24831249272517228,0.20122518501819575
Model4,Lasso Regression,-0.00444992666515609,0.2577118681366268,0.2095364825745077
Model4,Random Forest,0.5533922964418875,0.17184360638565774,0.10687611596063022
Model4,Gradient Boosting,0.63683422016432,0.15496111516868402,0.10284365986584315
Model4,SVR,0.5861607288355899,0.1654192790492911,0.11330854609933687
Model5,Linear Regression,0.9178852023086722,0.1984679240985554,0.16244543820398188
Model5,Ridge Regression,0.9177496358413268,0.19863168568839756,0.16235916444545162
Model5,Lasso Regression,0.8553648943694111,0.2634004254387416,0.21666185127323032
Model5,Random Forest,0.9646160659090031,0.1302814766188962,0.08744550000000004
Model5,Gradient Boosting,0.962604240999736,0.13393398465548945,0.09543772155723143
Model5,SVR,0.9706933427102779,0.1185667065101824,0.08818775850402912
